PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,ReusedCount,landing_location,year,month,Outcome
2291.7423910022753,4.0,0.0,1,True,False,True,2.423141849174722,0,0.5768581508252784,2014,5,False
4461.985871724068,4.163381578546145,0.0,1,False,False,False,2.0,0,0.0,2016,10,False
5364.492327253749,2.0,0.2841712074582029,1,True,False,True,2.0,0,0.0,2016,3,False
2315.673854883737,4.0,0.0,1,True,False,True,2.0,0,0.6181078356944946,2014,7,False
1303.96959946464,4.432651420637553,0.0,1,True,False,True,2.5673485793624473,0,0.0,2013,4,False
550.7551045104725,6.839650322176611,1.8396503221766116,1,True,False,True,4.759475483264917,0,0.0,2015,1,False
533.8768916820618,6.425815395219293,1.6172102634795285,1,False,False,False,2.0,0,0.8086051317397642,2013,7,False
14694.900811152458,10.396600540768304,0.30169972961584746,5,True,True,True,2.0,4,0.0,2020,2,False
5081.267371837517,2.8713323911021034,0.0,1,True,False,True,2.0,0,0.0,2016,4,False
5577.57848180892,2.0,0.7757848180892004,1,True,False,True,2.0,0,0.0,2016,4,False
576.771646510897,6.424879519897653,1.6165863465984354,1,True,False,True,4.424879519897653,0,0.0,2015,1,False
5556.541701909345,2.0,0.5654170190934475,1,True,False,True,2.0,0,0.0,2016,5,False
2390.471397247052,4.0,0.0,1,True,False,True,1.0225692030977473,0,1.4887153984511263,2015,10,False
6490.293542090613,2.0,1.0,1,False,False,False,2.0,0,0.0,2017,6,False
2157.700826391834,4.0,0.0,1,True,False,True,2.1833307346168738,0,0.8166692653831265,2014,8,False
4502.964436865569,2.0,0.0,1,False,False,False,2.0,0,0.0,2014,7,False
6725.6133488739515,2.0,0.971937627972999,1,True,False,True,2.0,0,0.0,2016,7,False
5440.592802246743,2.0,0.08269737265429211,1,False,True,False,2.0,0,0.0,2017,5,False
15600.0,11.0,0.0,5,True,True,True,2.0,4,0.0,2020,2,False
503.0676620342505,6.75458703725996,1.7545870372599603,1,False,False,False,2.0,0,0.8772935186299802,2012,8,False
4586.555191209067,2.0,0.0,1,False,False,False,2.0,0,0.0,2014,6,False
